,prcp,srad,swe,tmax,tmin,vp
1980-01-01 12:00:00,1.381043,209.7002,18.42814,2.3537118,-9.346818,307.57294
1980-01-02 12:00:00,0.6210991,201.60219,18.799484,1.8699367,-8.627645,327.67627
1980-01-03 12:00:00,0.3113538,219.70703,19.100426,0.13441795,-11.379412,270.54346
1980-01-04 12:00:00,0.17028442,205.27292,18.982868,4.299061,-5.865393,400.1864
1980-01-05 12:00:00,0.57872283,239.59326,19.55208,4.8717813,-8.244507,337.00433
1980-01-06 12:00:00,1.7605032,245.00493,21.312613,1.3472633,-15.11389,199.43707
1980-01-07 12:00:00,2.9283657,216.6143,24.240993,-2.126221,-14.569555,204.66649
1980-01-08 12:00:00,5.2374334,153.09459,28.804607,-0.27228695,-8.843357,318.254
1980-01-09 12:00:00,13.847814,159.88249,39.287098,1.7565522,-7.2470164,361.50116
1980-01-10 12:00:00,11.051477,174.89368,49.526615,0.328902,-10.535782,289.1821
1980-01-11 12:00:00,11.937789,218.83833,61.464428,-3.8574066,-18.487309,151.38538
1980-01-12 12:00:00,24.213839,215.4807,85.09054,4.6767325,-10.751937,275.9348
1980-01-13 12:00:00,22.974659,106.7613,84.06878,4.2011104,-1.305506,559.4867
1980-01-14 12:00:00,15.58668,109.62958,84.230225,3.3076005,-2.3257892,522.9136
1980-01-15 12:00:00,3.5669632,166.72006,83.49853,3.987659,-3.945647,464.15234
1980-01-16 12:00:00,3.4638317,152.4486,83.394226,2.4013863,-4.5057044,449.8902
1980-01-17 12:00:00,5.707248,155.88313,85.14014,1.9963952,-5.8277125,410.75476
1980-01-18 12:00:00,0.4412959,179.27489,85.21529,-1.2722263,-8.262576,341.07816
1980-01-19 12:00:00,0.0,264.47845,85.18428,-3.415301,-14.5845585,213.73601
1980-01-20 12:00:00,0.84665143,291.64938,86.03092,-3.4693005,-17.202892,168.16194
1980-01-21 12:00:00,0.0,287.23853,86.03092,-3.3123233,-15.549409,191.32777
1980-01-22 12:00:00,0.0,308.87823,86.03092,-3.1854448,-17.36774,165.7728
1980-01-23 12:00:00,0.0,311.24475,86.03092,-2.1044123,-16.319918,179.38382
1980-01-24 12:00:00,0.019403594,310.40912,86.05032,-0.31810716,-14.20678,210.9173
1980-01-25 12:00:00,1.0802717,234.42271,87.12967,-2.292268,-11.843237,255.5019
1980-01-26 12:00:00,2.463934,214.95848,89.59352,-8.162608,-17.407108,166.00414
1980-01-27 12:00:00,6.8499026,207.84848,96.443405,-10.992017,-21.144861,122.2211
1980-01-28 12:00:00,1.8168311,314.37955,98.26028,-11.08042,-25.73192,82.879395
1980-01-29 12:00:00,4.8157883,268.30124,103.07609,-8.911881,-22.719343,104.61555
1980-01-30 12:00:00,0.58586764,367.68423,103.66197,-9.057526,-27.506096,66.97648
1980-01-31 12:00:00,0.11032411,362.50497,103.77229,-9.971928,-26.588854,72.91734
1980-02-01 12:00:00,0.0,364.02347,103.77229,-2.9297664,-19.756859,130.86432
1980-02-02 12:00:00,0.0,333.64636,103.76899,2.465402,-11.131977,265.67868
1980-02-03 12:00:00,0.0,307.0106,103.737114,3.5870936,-8.19776,333.0826
1980-02-04 12:00:00,0.00065042445,302.4537,103.593735,3.6587071,-7.6922836,350.71057
1980-02-05 12:00:00,0.0,386.39496,103.593735,1.2076392,-16.820885,170.2992
1980-02-06 12:00:00,1.6828994,319.59946,105.197525,1.2155551,-12.286563,245.78658
1980-02-07 12:00:00,1.0377488,229.75932,105.9684,0.35978004,-7.462326,357.53152
