,prcp,srad,swe,tmax,tmin,vp
1980-01-01 12:00:00,0.81988746,190.96878,0.00075075723,3.3489614,-4.4450474,429.07507
1980-01-02 12:00:00,0.06471225,133.08018,0.00024664646,1.4454695,-3.141452,483.406
1980-01-03 12:00:00,0.0,140.0209,0.0,1.0653462,-3.7072418,464.8159
1980-01-04 12:00:00,0.0,232.89622,0.0,6.5125723,-3.5136561,445.0562
1980-01-05 12:00:00,0.0,235.25682,0.0,6.689472,-3.9827003,441.22327
1980-01-06 12:00:00,0.0,231.47993,0.0,3.705688,-5.835777,385.23257
1980-01-07 12:00:00,1.4723735,203.45892,0.15599956,2.7593617,-5.3262873,400.05707
1980-01-08 12:00:00,3.7007532,158.49353,0.09993076,5.240448,-1.3491389,548.32477
1980-01-09 12:00:00,11.3041935,168.38936,0.041350067,5.960528,-1.8808914,529.16943
1980-01-10 12:00:00,5.26341,143.8649,0.026955863,4.5182996,-1.9756187,529.7679
1980-01-11 12:00:00,5.9405146,169.20876,5.739286,0.21159455,-7.1235685,358.6813
1980-01-12 12:00:00,8.126166,226.18117,5.3033643,10.441452,-4.223927,445.59048
1980-01-13 12:00:00,9.8539,165.30281,2.8341172,9.878917,2.3127067,729.04205
1980-01-14 12:00:00,10.316031,146.1544,1.6291064,7.9078236,1.4505972,679.83606
1980-01-15 12:00:00,1.7168586,159.00446,1.1005322,5.7415442,0.082910016,614.74097
1980-01-16 12:00:00,1.2666291,136.45348,0.66256595,5.398559,0.7884552,646.8139
1980-01-17 12:00:00,2.34471,147.87982,0.3278732,6.902467,1.2221938,667.5651
1980-01-18 12:00:00,3.7905369,121.71812,0.17652099,4.2449718,-0.47565123,591.6923
1980-01-19 12:00:00,0.0,196.38496,0.15038729,2.4892235,-3.7596364,463.83228
1980-01-20 12:00:00,0.0,216.18121,0.15038729,1.4046624,-5.672977,401.0902
1980-01-21 12:00:00,0.0,205.33015,0.14983557,1.5522826,-5.048386,421.05142
1980-01-22 12:00:00,0.0,222.58408,0.14983557,1.328691,-5.835279,395.68024
1980-01-23 12:00:00,0.0,234.29832,0.14983557,1.2814928,-6.3502054,380.36026
1980-01-24 12:00:00,0.0,237.49902,0.14983557,1.7817351,-6.039688,389.42087
1980-01-25 12:00:00,0.0,245.58319,0.14239074,3.0325832,-5.1056666,418.56192
1980-01-26 12:00:00,0.0,214.66582,0.13896798,0.61133486,-5.9134836,394.10043
1980-01-27 12:00:00,3.2143378,168.2907,2.9797988,-2.6612377,-7.884922,339.11023
1980-01-28 12:00:00,2.307698,176.77965,5.2875643,-5.4032817,-10.932674,266.80215
1980-01-29 12:00:00,4.6780357,172.76477,9.965583,-4.626112,-9.978317,287.22382
1980-01-30 12:00:00,0.021051494,340.67703,9.986637,-4.2252703,-16.04674,176.09628
1980-01-31 12:00:00,0.0,316.0976,9.986637,-6.6366835,-16.333815,172.18945
1980-02-01 12:00:00,0.0,307.73724,9.986637,-3.6138923,-13.084293,224.57088
1980-02-02 12:00:00,0.0,335.47208,9.986637,-0.03863046,-11.026858,263.94244
1980-02-03 12:00:00,0.0,266.98657,9.942684,0.52956945,-6.8052444,368.30386
1980-02-04 12:00:00,0.0,337.35867,9.942684,3.217754,-7.472062,348.69833
1980-02-05 12:00:00,0.0,310.79327,9.942684,0.5990199,-8.517484,322.0754
1980-02-06 12:00:00,0.6164647,296.69888,10.387549,2.582434,-6.031601,390.67026
1980-02-07 12:00:00,0.07365859,257.7118,9.620874,2.7855432,-3.925346,457.03458
1980-02-08 12:00:00,0.0,364.72113,9.620874,3.6227,-9.256051,304.04312
1980-02-09 12:00:00,0.0,376.26996,9.620874,2.3444872,-11.5756645,252.64674
1980-02-10 12:00:00,0.0,376.50742,9.620874,1.7875962,-11.745257,249.22012
1980-02-11 12:00:00,0.0,375.86887,9.620874,2.0620122,-10.928412,265.7447
1980-02-12 12:00:00,0.0,340.07788,9.620874,1.1695306,-8.922169,312.5108
1980-02-13 12:00:00,0.16622457,370.92264,9.785064,5.4923,-7.1491017,356.59357
1980-02-14 12:00:00,6.997781,213.3639,8.327828,6.1848316,-1.5262636,546.7745
1980-02-15 12:00:00,3.380476,237.24373,6.1281652,9.343426,1.5129251,681.3192
1980-02-16 12:00:00,0.8603267,298.19833,4.443704,9.331158,0.14204672,616.7561
1980-02-17 12:00:00,4.2501345,214.4616,2.6716878,9.755589,2.1284056,712.2654
1980-02-18 12:00:00,11.519849,207.75041,1.1999805,10.344304,2.4238079,729.2271
1980-02-19 12:00:00,2.4522848,218.00734,0.46126136,10.175167,2.8369558,749.38245
