,prcp,srad,swe,tmax,tmin,vp
1980-01-01 12:00:00,1.859624,168.99908,21.213861,2.8052595,-5.777281,414.1153
1980-01-02 12:00:00,1.2179998,203.02827,21.763504,2.51529,-7.2663903,366.67874
1980-01-03 12:00:00,0.15878971,256.9623,21.922308,2.5763774,-10.874747,283.06104
1980-01-04 12:00:00,0.0,271.34494,21.899588,6.31509,-8.709538,332.57358
1980-01-05 12:00:00,0.23979035,274.4483,22.066769,9.256881,-6.470121,394.1061
1980-01-06 12:00:00,0.010352605,236.27287,22.051878,4.7534814,-6.8217416,377.04138
1980-01-07 12:00:00,0.62304956,219.28339,22.664795,1.1744939,-8.902706,320.42578
1980-01-08 12:00:00,6.169099,179.23164,27.546654,2.5177965,-6.438271,393.748
1980-01-09 12:00:00,11.597134,168.3021,34.974987,3.3364625,-4.9514513,440.5428
1980-01-10 12:00:00,12.105884,166.2782,44.342117,2.9388533,-6.5168624,383.9354
1980-01-11 12:00:00,11.024237,238.75244,55.366352,-0.5242344,-15.292752,197.94997
1980-01-12 12:00:00,15.124561,223.90208,66.73237,7.2009344,-7.093008,374.35574
1980-01-13 12:00:00,16.739624,122.0351,64.62648,7.9972186,1.960772,720.3528
1980-01-14 12:00:00,23.360855,123.73078,64.080475,5.752954,-0.7138733,586.7767
1980-01-15 12:00:00,1.6459286,221.60901,64.54121,4.812848,-4.85905,443.53616
1980-01-16 12:00:00,5.282069,157.83441,66.06674,3.9313295,-3.8168125,481.76767
1980-01-17 12:00:00,5.35043,173.02422,67.8928,5.2857394,-3.1496272,502.6103
1980-01-18 12:00:00,4.589368,134.09161,68.2687,3.0273147,-2.8173509,510.16846
1980-01-19 12:00:00,0.00598687,212.0963,68.229416,1.1135991,-6.651684,383.60727
1980-01-20 12:00:00,0.2798581,288.66068,68.5093,0.13995767,-12.229266,255.89517
1980-01-21 12:00:00,0.0021855147,291.84286,68.51148,1.05482,-11.406856,271.92566
1980-01-22 12:00:00,0.086458065,296.08447,68.59793,0.1914104,-12.363506,251.09773
1980-01-23 12:00:00,0.27090955,318.8843,68.868835,1.4625477,-13.087591,237.7063
1980-01-24 12:00:00,0.21848474,326.37848,69.087326,3.4124672,-11.696976,264.847
